"","Precipitation","Month","Year"
"ppt197509bi",50.75999832,9,1975
"ppt197510bi",22.69000053,10,1975
"ppt197511bi",6.71999979,11,1975
"ppt197512bi",7.110000134,12,1975
"ppt197601bi",2.170000076,1,1976
"ppt197602bi",75.73999786,2,1976
"ppt197603bi",18.93000031,3,1976
"ppt197604bi",24.98999977,4,1976
"ppt197605bi",24.54999924,5,1976
"ppt197606bi",3.869999886,6,1976
"ppt197607bi",29.42000008,7,1976
"ppt197608bi",11.72999954,8,1976
"ppt197609bi",71.70999908,9,1976
"ppt197610bi",10.46000004,10,1976
"ppt197611bi",3.039999962,11,1976
"ppt197612bi",0,12,1976
"ppt197701bi",38.8199997,1,1977
"ppt197702bi",42.24000168,2,1977
"ppt197703bi",23.61000061,3,1977
"ppt197704bi",7.440000057,4,1977
"ppt197705bi",86.45999908,5,1977
"ppt197706bi",40.04000092,6,1977
"ppt197707bi",7.889999867,7,1977
"ppt197708bi",36.70999908,8,1977
"ppt197709bi",6.699999809,9,1977
"ppt197710bi",2.960000038,10,1977
"ppt197711bi",7.340000153,11,1977
"ppt197712bi",193.7200012,12,1977
"ppt197801bi",91.55999756,1,1978
"ppt197802bi",160.2299957,2,1978
"ppt197803bi",133.7700043,3,1978
"ppt197804bi",101.5999985,4,1978
"ppt197805bi",6.199999809,5,1978
"ppt197806bi",0,6,1978
"ppt197807bi",5.769999981,7,1978
"ppt197808bi",5.03000021,8,1978
"ppt197809bi",64.91999817,9,1978
"ppt197810bi",10.35000038,10,1978
"ppt197811bi",43.16999817,11,1978
"ppt197812bi",46.11000061,12,1978
"ppt197901bi",97.08999634,1,1979
"ppt197902bi",64.16000366,2,1979
"ppt197903bi",95,3,1979
"ppt197904bi",8.729999542,4,1979
"ppt197905bi",13.53999996,5,1979
"ppt197906bi",0,6,1979
"ppt197907bi",14.10999966,7,1979
"ppt197908bi",31.07999992,8,1979
"ppt197909bi",15.31000042,9,1979
"ppt197910bi",18.20999908,10,1979
"ppt197911bi",16.5,11,1979
"ppt197912bi",55.91999817,12,1979
"ppt198001bi",134.3899994,1,1980
"ppt198002bi",189.6300049,2,1980
"ppt198003bi",79.05000305,3,1980
"ppt198004bi",20.68000031,4,1980
"ppt198005bi",71.94000244,5,1980
"ppt198006bi",2.690000057,6,1980
"ppt198007bi",11.14999962,7,1980
"ppt198008bi",0.029999999,8,1980
"ppt198009bi",26.30999947,9,1980
"ppt198010bi",0.649999976,10,1980
"ppt198011bi",14.35999966,11,1980
"ppt198012bi",35.31000137,12,1980
"ppt198101bi",89.88999939,1,1981
"ppt198102bi",39.50999832,2,1981
"ppt198103bi",106.8600006,3,1981
"ppt198104bi",23.39999962,4,1981
"ppt198105bi",47.49000168,5,1981
"ppt198106bi",0,6,1981
"ppt198107bi",0.970000029,7,1981
"ppt198108bi",10.19999981,8,1981
"ppt198109bi",8.770000458,9,1981
"ppt198110bi",75.98999786,10,1981
"ppt198111bi",80.80999756,11,1981
"ppt198112bi",34.13999939,12,1981
"ppt198201bi",117.6600037,1,1982
"ppt198202bi",36.04000092,2,1982
"ppt198203bi",88.54000092,3,1982
"ppt198204bi",194.3800049,4,1982
"ppt198205bi",26.84000015,5,1982
"ppt198206bi",39.74000168,6,1982
"ppt198207bi",29.70000076,7,1982
"ppt198208bi",45.99000168,8,1982
"ppt198209bi",65.23000336,9,1982
"ppt198210bi",122.7200012,10,1982
"ppt198211bi",49.40999985,11,1982
"ppt198212bi",114.4800034,12,1982
"ppt198301bi",115.4599991,1,1983
"ppt198302bi",115.9000015,2,1983
"ppt198303bi",162.4799957,3,1983
"ppt198304bi",37.22000122,4,1983
"ppt198305bi",6.809999943,5,1983
"ppt198306bi",16.07999992,6,1983
"ppt198307bi",1.049999952,7,1983
"ppt198308bi",94.79000092,8,1983
"ppt198309bi",29.25,9,1983
"ppt198310bi",18.30999947,10,1983
"ppt198311bi",92.61000061,11,1983
"ppt198312bi",144.3099976,12,1983
"ppt198401bi",8.039999962,1,1984
"ppt198402bi",63.22000122,2,1984
"ppt198403bi",29.82999992,3,1984
"ppt198404bi",47.50999832,4,1984
"ppt198405bi",0,5,1984
"ppt198406bi",19.97999954,6,1984
"ppt198407bi",79.70999908,7,1984
"ppt198408bi",57.25,8,1984
"ppt198409bi",12.22999954,9,1984
"ppt198410bi",30.07999992,10,1984
"ppt198411bi",99.95999908,11,1984
"ppt198412bi",49.40000153,12,1984
"ppt198501bi",24.18000031,1,1985
"ppt198502bi",25.8199997,2,1985
"ppt198503bi",82.19999695,3,1985
