"","Temperature","Month","Year"
"tmean196201",-6.135000229,1,1962
"tmean196202",-7.325000286,2,1962
"tmean196203",-8.649999619,3,1962
"tmean196204",1.140000105,4,1962
"tmean196205",1.080000162,5,1962
"tmean196206",7.59499979,6,1962
"tmean196207",9.690000534,7,1962
"tmean196208",10.18000031,8,1962
"tmean196209",7.90500021,9,1962
"tmean196210",3.049999952,10,1962
"tmean196211",-0.464999914,11,1962
"tmean196212",-1.319999933,12,1962
"tmean196301",-5.350000382,1,1963
"tmean196302",-3.215000153,2,1963
"tmean196303",-7.534999847,3,1963
"tmean196304",-5.554999828,4,1963
"tmean196305",2.690000057,5,1963
"tmean196306",4.890000343,6,1963
"tmean196307",10.21000004,7,1963
"tmean196308",9.440000534,8,1963
"tmean196309",6.989999771,9,1963
"tmean196310",3.954999924,10,1963
"tmean196311",-1.639999867,11,1963
"tmean196312",-3.364999771,12,1963
"tmean196401",-5.215000153,1,1964
"tmean196402",-7.199999809,2,1964
"tmean196403",-5.449999809,3,1964
"tmean196404",-2.204999924,4,1964
"tmean196405",1.229999781,5,1964
"tmean196406",6.190000057,6,1964
"tmean196407",10.18999958,7,1964
"tmean196408",10.1050005,8,1964
"tmean196409",5.974999905,9,1964
"tmean196410",5.324999809,10,1964
"tmean196411",-4.625,11,1964
"tmean196412",-4.105000019,12,1964
"tmean196501",-6.184999943,1,1965
"tmean196502",-4.574999809,2,1965
"tmean196503",-4.740000248,3,1965
"tmean196504",-2.24000001,4,1965
"tmean196505",1.455000162,5,1965
"tmean196506",5.900000095,6,1965
"tmean196507",9.684999466,7,1965
"tmean196508",8.770000458,8,1965
"tmean196509",4.075000286,9,1965
"tmean196510",5.425000191,10,1965
"tmean196511",-3.485000134,11,1965
"tmean196512",-8.159999847,12,1965
"tmean196601",-9.204999924,1,1966
"tmean196602",-8.114999771,2,1966
"tmean196603",-3.490000248,3,1966
"tmean196604",-0.194999933,4,1966
"tmean196605",4.785000324,5,1966
"tmean196606",6.690000057,6,1966
"tmean196607",9.989999771,7,1966
"tmean196608",10.48499966,8,1966
"tmean196609",6.009999752,9,1966
"tmean196610",1.734999895,10,1966
"tmean196611",-2.5849998,11,1966
"tmean196612",-5.944999695,12,1966
"tmean196701",-5.769999981,1,1967
"tmean196702",-4.804999828,2,1967
"tmean196703",-4.75,3,1967
"tmean196704",-7.055000305,4,1967
"tmean196705",1.289999962,5,1967
"tmean196706",6.315000057,6,1967
"tmean196707",12.34000015,7,1967
"tmean196708",11.98500061,8,1967
"tmean196709",7.109999657,9,1967
"tmean196710",4.160000324,10,1967
"tmean196711",-0.404999971,11,1967
"tmean196712",-8.144999504,12,1967
"tmean196801",-6.71999979,1,1968
"tmean196802",-4.505000114,2,1968
"tmean196803",-5.68500042,3,1968
"tmean196804",-1.849999905,4,1968
"tmean196805",2.859999895,5,1968
"tmean196806",9.175000191,6,1968
"tmean196807",11.27000046,7,1968
"tmean196808",8.369999886,8,1968
"tmean196809",7.46999979,9,1968
"tmean196810",2.620000124,10,1968
"tmean196811",-1.919999838,11,1968
"tmean196812",-6.409999847,12,1968
"tmean196901",-5.880000114,1,1969
"tmean196902",-9.270000458,2,1969
"tmean196903",-7.75,3,1969
"tmean196904",-2.680000067,4,1969
"tmean196905",3.61500001,5,1969
"tmean196906",6.075000286,6,1969
"tmean196907",11.07499981,7,1969
"tmean196908",12.14500046,8,1969
"tmean196909",8.220000267,9,1969
"tmean196910",-0.079999924,10,1969
"tmean196911",0.369999886,11,1969
"tmean196912",-4.699999809,12,1969
"tmean197001",-5.649999619,1,1970
"tmean197002",-4.914999962,2,1970
"tmean197003",-5.095000267,3,1970
"tmean197004",-4.360000134,4,1970
"tmean197005",3.490000248,5,1970
"tmean197006",7.099999905,6,1970
"tmean197007",11.375,7,1970
"tmean197008",12.19000053,8,1970
"tmean197009",6.180000305,9,1970
"tmean197010",1.309999943,10,1970
"tmean197011",-0.224999905,11,1970
"tmean197012",-8.704999924,12,1970
"tmean197101",-5.03000021,1,1971
"tmean197102",-6.114999771,2,1971
"tmean197103",-4.099999905,3,1971
"tmean197104",-2.440000057,4,1971
"tmean197105",-0.320000172,5,1971
"tmean197106",6.300000191,6,1971
"tmean197107",10.875,7,1971
"tmean197108",10.97999954,8,1971
"tmean197109",6.105000019,9,1971
"tmean197110",-0.955000162,10,1971
"tmean197111",-3.960000038,11,1971
"tmean197112",-10.64500046,12,1971
"tmean197201",-7.195000172,1,1972
