"","Temperature","Month","Year"
"tmean197202",-5.59499979,2,1972
"tmean197203",-1.099999905,3,1972
"tmean197204",-1.970000029,4,1972
"tmean197205",2.910000086,5,1972
"tmean197206",7.970000267,6,1972
"tmean197207",12.30999947,7,1972
"tmean197208",10.2300005,8,1972
"tmean197209",5.019999504,9,1972
"tmean197210",-0.674999952,10,1972
"tmean197211",-5.960000038,11,1972
"tmean197212",-7.605000019,12,1972
"tmean197301",-8.335000038,1,1973
"tmean197302",-7.710000038,2,1973
"tmean197303",-7.860000134,3,1973
"tmean197304",-3.759999752,4,1973
"tmean197305",3.025000095,5,1973
"tmean197306",8.839999199,6,1973
"tmean197307",11.08500004,7,1973
"tmean197308",10.35499954,8,1973
"tmean197309",7.034999847,9,1973
"tmean197310",2.309999704,10,1973
"tmean197311",-2.950000048,11,1973
"tmean197312",-3.854999781,12,1973
"tmean197401",-7.679999828,1,1974
"tmean197402",-7.110000134,2,1974
"tmean197403",-4.800000191,3,1974
"tmean197404",-3.745000124,4,1974
"tmean197405",4.014999867,5,1974
"tmean197406",9.180000305,6,1974
"tmean197407",10.68500042,7,1974
"tmean197408",9.829999924,8,1974
"tmean197409",8.635000229,9,1974
"tmean197410",1.59499979,10,1974
"tmean197411",-2.220000029,11,1974
"tmean197412",-5.804999828,12,1974
"tmean197501",-4.680000305,1,1975
"tmean197502",-6.725000382,2,1975
"tmean197503",-6.654999733,3,1975
"tmean197504",-7.889999867,4,1975
"tmean197505",0.744999886,5,1975
"tmean197506",7.375,6,1975
"tmean197507",11.59000015,7,1975
"tmean197508",9.629999161,8,1975
"tmean197509",7.860000134,9,1975
"tmean197510",1.775000095,10,1975
"tmean197511",-1.680000305,11,1975
"tmean197512",-3.349999905,12,1975
"tmean197601",-3.534999847,1,1976
"tmean197602",-5.920000076,2,1976
"tmean197603",-6.989999771,3,1976
"tmean197604",-3.525000095,4,1976
"tmean197605",4.704999924,5,1976
"tmean197606",8.199999809,6,1976
"tmean197607",11.06000042,7,1976
"tmean197608",6.464999676,8,1976
"tmean197609",6.525000095,9,1976
"tmean197610",2.049999952,10,1976
"tmean197611",-0.109999895,11,1976
"tmean197612",-4.239999771,12,1976
"tmean197701",-7.570000172,1,1977
"tmean197702",-5.010000229,2,1977
"tmean197703",-7.355000019,3,1977
"tmean197704",0.154999971,4,1977
"tmean197705",-1.779999733,5,1977
"tmean197706",8.414999962,6,1977
"tmean197707",10.5350008,7,1977
"tmean197708",10.94000053,8,1977
"tmean197709",6.385000229,9,1977
"tmean197710",3.615000248,10,1977
"tmean197711",0.975000143,11,1977
"tmean197712",-3.180000067,12,1977
"tmean197801",-6.680000305,1,1978
"tmean197802",-6.940000057,2,1978
"tmean197803",-3.995000124,3,1978
"tmean197804",-4.335000038,4,1978
"tmean197805",1.184999943,5,1978
"tmean197806",6.755000114,6,1978
"tmean197807",9.329999924,7,1978
"tmean197808",9.869999886,8,1978
"tmean197809",4.269999981,9,1978
"tmean197810",4.325000286,10,1978
"tmean197811",-4.949999809,11,1978
"tmean197812",-7.394999981,12,1978
"tmean197901",-9.135000229,1,1979
"tmean197902",-8.074999809,2,1979
"tmean197903",-5.529999733,3,1979
"tmean197904",-3.034999847,4,1979
"tmean197905",2.805000067,5,1979
"tmean197906",7.505000114,6,1979
"tmean197907",9.430000305,7,1979
"tmean197908",7.260000229,8,1979
"tmean197909",8.215000153,9,1979
"tmean197910",2.680000067,10,1979
"tmean197911",-3.425000191,11,1979
"tmean197912",-3.404999971,12,1979
"tmean198001",-5.53000021,1,1980
"tmean198002",-4.860000134,2,1980
"tmean198003",-6.760000229,3,1980
"tmean198004",-2.144999743,4,1980
"tmean198005",-0.399999857,5,1980
"tmean198006",5.644999981,6,1980
"tmean198007",9.614999771,7,1980
"tmean198008",8.559999466,8,1980
"tmean198009",6.114999771,9,1980
"tmean198010",3.384999752,10,1980
"tmean198011",-2.045000076,11,1980
"tmean198012",-2.789999962,12,1980
"tmean198101",-4.825000286,1,1981
"tmean198102",-4.974999905,2,1981
"tmean198103",-5.884999752,3,1981
"tmean198104",-0.814999819,4,1981
"tmean198105",1.829999924,5,1981
"tmean198106",9.88999939,6,1981
"tmean198107",10.90999985,7,1981
"tmean198108",11.27000046,8,1981
"tmean198109",7.464999676,9,1981
"tmean198110",-0.695000172,10,1981
"tmean198111",-2.309999943,11,1981
"tmean198112",-3.864999771,12,1981
"tmean198201",-8.449999809,1,1982
"tmean198202",-5.215000153,2,1982
"tmean198203",-6.775000095,3,1982
"tmean198204",-3.374999762,4,1982
"tmean198205",2.144999981,5,1982
"tmean198206",5.640000343,6,1982
"tmean198207",8.795000076,7,1982
"tmean198208",9.604999542,8,1982
"tmean198209",4.764999867,9,1982
"tmean198210",0.28000021,10,1982
"tmean198211",-4.550000191,11,1982
"tmean198212",-6.539999962,12,1982
"tmean198301",-5.729999542,1,1983
"tmean198302",-6.110000134,2,1983
"tmean198303",-5.984999657,3,1983
"tmean198304",-5.329999924,4,1983
"tmean198305",0.840000153,5,1983
"tmean198306",6.109999657,6,1983
"tmean198307",8.215000153,7,1983
"tmean198308",8.225000382,8,1983
"tmean198309",7.434999943,9,1983
"tmean198310",2.180000067,10,1983
"tmean198311",-4.065000057,11,1983
"tmean198312",-5.599999905,12,1983
"tmean198401",-4.194999695,1,1984
"tmean198402",-5.570000172,2,1984
"tmean198403",-2.900000095,3,1984
"tmean198404",-3.065000057,4,1984
"tmean198405",5.349999905,5,1984
"tmean198406",7.054999828,6,1984
"tmean198407",11.1050005,7,1984
"tmean198408",10.17500019,8,1984
"tmean198409",7.894999981,9,1984
"tmean198410",-1.069999933,10,1984
"tmean198411",-4.914999962,11,1984
"tmean198412",-7.884999752,12,1984
"tmean198501",-6.860000134,1,1985
"tmean198502",-6.230000019,2,1985
"tmean198503",-7.019999981,3,1985
"tmean198504",0.470000029,4,1985
"tmean198505",2.720000029,5,1985
"tmean198506",9.76499939,6,1985
"tmean198507",11.8199997,7,1985
"tmean198508",9.925000191,8,1985
"tmean198509",3.809999943,9,1985
"tmean198510",1.429999828,10,1985
"tmean198511",-4.710000038,11,1985
"tmean198512",-4.224999905,12,1985
"tmean198601",-1.914999962,1,1986
"tmean198602",-5.514999867,2,1986
"tmean198603",-2.559999943,3,1986
"tmean198604",-1.839999914,4,1986
"tmean198605",3.019999981,5,1986
"tmean198606",9.074999809,6,1986
"tmean198607",9.210000038,7,1986
"tmean198608",10.95499992,8,1986
"tmean198609",2.595000029,9,1986
"tmean198610",0.765000105,10,1986
"tmean198611",-1.619999886,11,1986
"tmean198612",-4.684999943,12,1986
"tmean198701",-7.360000134,1,1987
"tmean198702",-7.119999886,2,1987
"tmean198703",-5.795000076,3,1987
"tmean198704",1.050000191,4,1987
"tmean198705",2.535000086,5,1987
"tmean198706",8.355000496,6,1987
"tmean198707",8.369999886,7,1987
"tmean198708",10.31500053,8,1987
"tmean198709",7.590000153,9,1987
"tmean198710",4.71999979,10,1987
"tmean198711",-3.299999714,11,1987
"tmean198712",-8.194999695,12,1987
"tmean198801",-6.049999714,1,1988
"tmean198802",-2.964999676,2,1988
"tmean198803",-3.069999933,3,1988
"tmean198804",-1.504999876,4,1988
"tmean198805",1.325000048,5,1988
"tmean198806",7.125,6,1988
"tmean198807",12.0699997,7,1988
"tmean198808",10.55999947,8,1988
"tmean198809",7.119999886,9,1988
"tmean198810",6.210000038,10,1988
"tmean198811",-2.275000095,11,1988
"tmean198812",-7.034999847,12,1988
"tmean198901",-7.494999886,1,1989
"tmean198902",-7.235000134,2,1989
"tmean198903",-2.474999905,3,1989
"tmean198904",2.2900002,4,1989
"tmean198905",2.269999981,5,1989
"tmean198906",8.024999619,6,1989
"tmean198907",12.51499939,7,1989
"tmean198908",9.680000305,8,1989
"tmean198909",6.989999771,9,1989
"tmean198910",0.980000019,10,1989
"tmean198911",1.139999867,11,1989
"tmean198912",-2.694999695,12,1989
"tmean199001",-5.454999924,1,1990
"tmean199002",-6.954999924,2,1990
"tmean199003",-3.230000019,3,1990
"tmean199004",0.570000172,4,1990
"tmean199005",1.289999962,5,1990
"tmean199006",8.020000458,6,1990
"tmean199007",11.52500057,7,1990
"tmean199008",9.694999695,8,1990
"tmean199009",7.434999943,9,1990
"tmean199010",3.694999933,10,1990
"tmean199011",-0.055000067,11,1990
"tmean199012",-6.984999657,12,1990
"tmean199101",-3.535000086,1,1991
"tmean199102",-1.454999924,2,1991
"tmean199103",-8.284999847,3,1991
"tmean199104",-2.740000248,4,1991
"tmean199105",-1.200000286,5,1991
"tmean199106",6.765000343,6,1991
"tmean199107",10.95999908,7,1991
"tmean199108",10.11999989,8,1991
"tmean199109",8.710000038,9,1991
"tmean199110",4.855000019,10,1991
"tmean199111",0.180000067,11,1991
"tmean199112",-3.275000095,12,1991
"tmean199201",-2.835000038,1,1992
"tmean199202",-4.369999886,2,1992
"tmean199203",-3.745000124,3,1992
"tmean199204",1.435000181,4,1992
"tmean199205",5.720000267,5,1992
"tmean199206",7.625,6,1992
"tmean199207",8.56499958,7,1992
"tmean199208",10.02499962,8,1992
"tmean199209",7.815000057,9,1992
"tmean199210",4.234999657,10,1992
"tmean199211",-2.025000095,11,1992
"tmean199212",-7.855000019,12,1992
"tmean199301",-7.130000114,1,1993
"tmean199302",-7.699999809,2,1993
"tmean199303",-2.24000001,3,1993
"tmean199304",-1.465000153,4,1993
"tmean199305",3.159999847,5,1993
"tmean199306",6.195000172,6,1993
"tmean199307",9.324999809,7,1993
"tmean199308",9.555000305,8,1993
"tmean199309",7.519999981,9,1993
"tmean199310",2.375,10,1993
"tmean199311",-1.884999991,11,1993
"tmean199312",-4.230000019,12,1993
"tmean199401",-3.710000038,1,1994
"tmean199402",-7.940000057,2,1994
"tmean199403",-2.305000305,3,1994
"tmean199404",-1.064999819,4,1994
"tmean199405",2.645000219,5,1994
"tmean199406",10.02499962,6,1994
"tmean199407",12.45499992,7,1994
"tmean199408",11.40999985,8,1994
"tmean199409",6.164999962,9,1994
"tmean199410",0.789999962,10,1994
"tmean199411",-7.93999958,11,1994
"tmean199412",-5.795000076,12,1994
"tmean199501",-7.920000076,1,1995
"tmean199502",-1.035000324,2,1995
"tmean199503",-6.34499979,3,1995
"tmean199504",-4.054999828,4,1995
"tmean199505",-1.055000067,5,1995
"tmean199506",4.519999981,6,1995
"tmean199507",10.63500023,7,1995
"tmean199508",10.7699995,8,1995
"tmean199509",8.505000114,9,1995
"tmean199510",4.305000305,10,1995
"tmean199511",2.835000038,11,1995
"tmean199512",-4.955000401,12,1995
"tmean199601",-5.330000401,1,1996
"tmean199602",-5.764999867,2,1996
"tmean199603",-4.460000038,3,1996
"tmean199604",-1.034999847,4,1996
"tmean199605",2.499999762,5,1996
"tmean199606",8.335000038,6,1996
"tmean199607",12.66499996,7,1996
"tmean199608",12.02499962,8,1996
"tmean199609",7.114999771,9,1996
"tmean199610",1.960000038,10,1996
"tmean199611",-1.845000029,11,1996
"tmean199612",-3.774999857,12,1996
"tmean199701",-6.944999695,1,1997
"tmean199702",-5.695000172,2,1997
"tmean199703",-1.299999714,3,1997
"tmean199704",-1.870000005,4,1997
"tmean199705",5.315000057,5,1997
"tmean199706",7.295000076,6,1997
"tmean199707",10.15999985,7,1997
"tmean199708",11.13500023,8,1997
"tmean199709",7.630000114,9,1997
"tmean199710",2.504999876,10,1997
"tmean199711",-1.590000153,11,1997
"tmean199712",-6.940000057,12,1997
"tmean199801",-6.304999828,1,1998
"tmean199802",-9.050000191,2,1998
"tmean199803",-4.539999962,3,1998
"tmean199804",-5.775000095,4,1998
"tmean199805",-1.850000143,5,1998
"tmean199806",4.534999847,6,1998
"tmean199807",11.15999985,7,1998
"tmean199808",11.98999977,8,1998
"tmean199809",6.410000324,9,1998
"tmean199810",0.795000076,10,1998
"tmean199811",-3.484999895,11,1998
"tmean199812",-5.625,12,1998
"tmean199901",-3.345000029,1,1999
"tmean199902",-6.514999867,2,1999
"tmean199903",-5.549999714,3,1999
"tmean199904",-5.264999867,4,1999
"tmean199905",3.049999714,5,1999
"tmean199906",7.644999981,6,1999
"tmean199907",10.98999977,7,1999
"tmean199908",9.555000305,8,1999
"tmean199909",8.340000153,9,1999
"tmean199910",5.985000134,10,1999
"tmean199911",0.720000029,11,1999
"tmean199912",-4.085000038,12,1999
"tmean200001",-5.824999809,1,2000
"tmean200002",-6.829999924,2,2000
"tmean200003",-4.599999905,3,2000
"tmean200004",-0.585000038,4,2000
"tmean200005",4.789999962,5,2000
"tmean200006",9.190000534,6,2000
"tmean200007",11.34000015,7,2000
"tmean200008",11.43500042,8,2000
"tmean200009",7.904999733,9,2000
"tmean200010",0.445000172,10,2000
"tmean200011",-4.614999771,11,2000
"tmean200012",-1.134999991,12,2000
"tmean200101",-7.149999619,1,2001
"tmean200102",-9.100000382,2,2001
"tmean200103",-3.579999924,3,2001
"tmean200104",-4.319999695,4,2001
"tmean200105",6.785000324,5,2001
"tmean200106",10.04500008,6,2001
"tmean200107",10.88500023,7,2001
"tmean200108",12.97500038,8,2001
"tmean200109",9.529999733,9,2001
"tmean200110",6.105000019,10,2001
"tmean200111",-1.914999962,11,2001
"tmean200112",-6.890000343,12,2001
"tmean200201",-6.099999905,1,2002
"tmean200202",-3.015000343,2,2002
"tmean200203",-5.674999714,3,2002
"tmean200204",0.2099998,4,2002
"tmean200205",2.744999886,5,2002
"tmean200206",9.989999771,6,2002
"tmean200207",13.38000011,7,2002
"tmean200208",11.20499992,8,2002
"tmean200209",8.029999733,9,2002
"tmean200210",2.179999828,10,2002
"tmean200211",-0.589999914,11,2002
"tmean200212",-8.390000343,12,2002
"tmean200301",-1.265000105,1,2003
"tmean200302",-6.769999981,2,2003
"tmean200303",-4.154999733,3,2003
"tmean200304",-4.965000153,4,2003
"tmean200305",2.934999943,5,2003
"tmean200306",9.119999886,6,2003
"tmean200307",13.73500061,7,2003
"tmean200308",10.99499989,8,2003
"tmean200309",9.930000305,9,2003
"tmean200310",7.215000153,10,2003
"tmean200311",-4.900000095,11,2003
"tmean200312",-5.744999886,12,2003
"tmean200401",-5.324999809,1,2004
"tmean200402",-8.234999657,2,2004
"tmean200403",1.145000219,3,2004
"tmean200404",-0.600000143,4,2004
"tmean200405",2.970000029,5,2004
"tmean200406",8.734999657,6,2004
"tmean200407",11.79500008,7,2004
"tmean200408",10.72500038,8,2004
"tmean200409",7.324999809,9,2004
"tmean200410",0.419999838,10,2004
"tmean200411",-3.815000057,11,2004
"tmean200412",-3.770000219,12,2004
"tmean200501",-6.744999886,1,2005
"tmean200502",-4.980000019,2,2005
"tmean200503",-3.765000105,3,2005
"tmean200504",-2.865000248,4,2005
"tmean200505",3.085000038,5,2005
"tmean200506",6.179999828,6,2005
"tmean200507",14.24499989,7,2005
"tmean200508",11.04999924,8,2005
"tmean200509",5.760000229,9,2005
"tmean200510",3.259999752,10,2005
"tmean200511",0.394999981,11,2005
"tmean200512",-3.609999895,12,2005
"tmean200601",-6.700000286,1,2006
"tmean200602",-5.675000191,2,2006
"tmean200603",-10.13000011,3,2006
"tmean200604",-3.324999809,4,2006
"tmean200605",3.499999762,5,2006
"tmean200606",10.10999966,6,2006
"tmean200607",13.07999992,7,2006
"tmean200608",10.71500015,8,2006
"tmean200609",7.579999924,9,2006
"tmean200610",1.954999924,10,2006
"tmean200611",-0.75,11,2006
"tmean200612",-4.130000114,12,2006
"tmean200701",-6.214999676,1,2007
"tmean200702",-5.090000153,2,2007
"tmean200703",-1.559999943,3,2007
"tmean200704",-0.614999771,4,2007
"tmean200705",4.619999886,5,2007
"tmean200706",9.489999771,6,2007
"tmean200707",13.70499992,7,2007
"tmean200708",12.375,8,2007
"tmean200709",6.650000095,9,2007
"tmean200710",2.424999952,10,2007
"tmean200711",1.400000095,11,2007
"tmean200712",-7.900000095,12,2007
"tmean200801",-8.079999924,1,2008
"tmean200802",-5.230000019,2,2008
"tmean200803",-3.515000105,3,2008
"tmean200804",-1.825000048,4,2008
"tmean200805",2.269999981,5,2008
"tmean200806",9.569999695,6,2008
"tmean200807",13.375,7,2008
"tmean200808",13.21999931,8,2008
"tmean200809",8.954999924,9,2008
"tmean200810",3.105000019,10,2008
"tmean200811",-0.020000219,11,2008
"tmean200812",-6.744999886,12,2008
"tmean200901",-4.130000114,1,2009
"tmean200902",-7.625,2,2009
"tmean200903",-5.195000172,3,2009
"tmean200904",-3.130000114,4,2009
"tmean200905",5.085000038,5,2009
"tmean200906",5.125,6,2009
"tmean200907",13.34000015,7,2009
"tmean200908",10.63000011,8,2009
"tmean200909",10.25500011,9,2009
"tmean200910",0.755000114,10,2009
"tmean200911",-0.5,11,2009
"tmean200912",-6.34499979,12,2009
"tmean201001",-6.924999714,1,2010
"tmean201002",-6.650000095,2,2010
"tmean201003",-4.630000114,3,2010
"tmean201004",-4.149999619,4,2010
"tmean201005",-1.134999991,5,2010
"tmean201006",8.210000038,6,2010
"tmean201007",12.90499973,7,2010
"tmean201008",10.94500065,8,2010
"tmean201009",8.954999924,9,2010
"tmean201010",2.529999971,10,2010
"tmean201011",-3.169999838,11,2010
"tmean201012",-4.440000057,12,2010
"tmean201101",-3.86500001,1,2011
"tmean201102",-7.815000057,2,2011
"tmean201103",-5.990000248,3,2011
"tmean201104",-1.654999971,4,2011
"tmean201105",-0.255000114,5,2011
"tmean201106",6.775000095,6,2011
"tmean201107",11.21999931,7,2011
"tmean201108",12.12000084,8,2011
"tmean201109",9.024999619,9,2011
"tmean201110",4.135000229,10,2011
"tmean201111",-2.229999781,11,2011
"tmean201112",-4.954999924,12,2011
"tmean201201",-1.884999991,1,2012
"tmean201202",-4.735000134,2,2012
"tmean201203",-3.699999809,3,2012
"tmean201204",-0.639999867,4,2012
"tmean201205",4.760000229,5,2012
"tmean201206",9.335000038,6,2012
"tmean201207",11.5699997,7,2012
"tmean201208",13.27000046,8,2012
"tmean201209",9.975000382,9,2012
"tmean201210",4.025000095,10,2012
"tmean201211",-0.190000057,11,2012
"tmean201212",-6.695000172,12,2012
"tmean201301",-6.434999943,1,2013
"tmean201302",-6.400000095,2,2013
"tmean201303",-1.949999809,3,2013
"tmean201304",0.504999876,4,2013
"tmean201305",3.630000114,5,2013
"tmean201306",10.52999973,6,2013
"tmean201307",13.40999985,7,2013
"tmean201308",10.95499992,8,2013
"tmean201309",7.569999695,9,2013
"tmean201310",1.5849998,10,2013
"tmean201311",-0.579999924,11,2013
"tmean201312",-3.210000038,12,2013
"tmean201401",-0.375,1,2014
"tmean201402",-3.5849998,2,2014
"tmean201403",-1.890000105,3,2014
"tmean201404",0.009999991,4,2014
"tmean201405",3.860000134,5,2014
"tmean201406",10.32999992,6,2014
"tmean201407",13.08500004,7,2014
"tmean201408",10.46500015,8,2014
"tmean201409",8.989999771,9,2014
"tmean201410",5.630000114,10,2014
"tmean201411",0.044999838,11,2014
"tmean201412",-4.434999943,12,2014
"tmean201501",-1.680000067,1,2015
"tmean201502",-0.264999867,2,2015
"tmean201503",0,3,2015
"tmean201504",-0.744999886,4,2015
"tmean201505",1.150000095,5,2015
"tmean201506",11.0340004,6,2015
"tmean201507",10.13400078,7,2015
"tmean201508",12.07900047,8,2015
"tmean201509",9.325000763,9,2015
"tmean201510",3.785000086,10,2015
"tmean201511",-3.865000248,11,2015
"tmean201512",-6.734000206,12,2015
