"","Temperature","Month","Year"
"tmean198707",7.424999714,7,1987
"tmean198708",9.549999237,8,1987
"tmean198709",5.319999695,9,1987
"tmean198710",2.199999809,10,1987
"tmean198711",-5.034999847,11,1987
"tmean198712",-10.23499966,12,1987
"tmean198801",-8.404999733,1,1988
"tmean198802",-6.345000267,2,1988
"tmean198803",-6.309999943,3,1988
"tmean198804",-4.724999905,4,1988
"tmean198805",-1.974999905,5,1988
"tmean198806",5.675000191,6,1988
"tmean198807",11.45499992,7,1988
"tmean198808",9.494999886,8,1988
"tmean198809",5.31499958,9,1988
"tmean198810",3.999999762,10,1988
"tmean198811",-4.670000076,11,1988
"tmean198812",-8.260000229,12,1988
"tmean198901",-9.934999466,1,1989
"tmean198902",-9.949999809,2,1989
"tmean198903",-5.800000191,3,1989
"tmean198904",-1.375,4,1989
"tmean198905",-1.460000038,5,1989
"tmean198906",6.115000248,6,1989
"tmean198907",10.76500034,7,1989
"tmean198908",7.860000134,8,1989
"tmean198909",3.770000219,9,1989
"tmean198910",-1.054999948,10,1989
"tmean198911",-1.139999867,11,1989
"tmean198912",-5.424999714,12,1989
"tmean199001",-7.820000172,1,1990
"tmean199002",-10.125,2,1990
"tmean199003",-6.034999847,3,1990
"tmean199004",-2.960000038,4,1990
"tmean199005",-2.289999962,5,1990
"tmean199006",6.514999867,6,1990
"tmean199007",10.45499992,7,1990
"tmean199008",8.510000229,8,1990
"tmean199009",4.690000057,9,1990
"tmean199010",1.525000095,10,1990
"tmean199011",-2.669999838,11,1990
"tmean199012",-10.2699995,12,1990
"tmean199101",-5.829999924,1,1991
"tmean199102",-4.399999619,2,1991
"tmean199103",-11.20499992,3,1991
"tmean199104",-6.444999695,4,1991
"tmean199105",-4.289999962,5,1991
"tmean199106",4.779999733,6,1991
"tmean199107",10.28000069,7,1991
"tmean199108",8.880000114,8,1991
"tmean199109",6.079999924,9,1991
"tmean199110",2.254999876,10,1991
"tmean199111",-2.910000086,11,1991
"tmean199112",-6.809999943,12,1991
"tmean199201",-4.860000134,1,1992
"tmean199202",-7.014999867,2,1992
"tmean199203",-6.744999886,3,1992
"tmean199204",-1.665000081,4,1992
"tmean199205",2.680000067,5,1992
"tmean199206",5.764999867,6,1992
"tmean199207",8.225000382,7,1992
"tmean199208",9.504999161,8,1992
"tmean199209",5.340000153,9,1992
"tmean199210",2.039999962,10,1992
"tmean199211",-4.605000019,11,1992
"tmean199212",-10.34000015,12,1992
"tmean199301",-9.675000191,1,1993
"tmean199302",-10.40999985,2,1993
"tmean199303",-5.579999924,3,1993
"tmean199304",-4.68999958,4,1993
"tmean199305",-0.429999828,5,1993
"tmean199306",4.525000095,6,1993
"tmean199307",8.345000267,7,1993
"tmean199308",8.739999771,8,1993
"tmean199309",4.925000191,9,1993
"tmean199310",-0.174999952,10,1993
"tmean199311",-3.380000114,11,1993
"tmean199312",-5.295000076,12,1993
"tmean199401",-6.365000248,1,1994
"tmean199402",-10.84500027,2,1994
"tmean199403",-3.195000172,3,1994
"tmean199404",-4.355000019,4,1994
"tmean199405",-0.949999929,5,1994
"tmean199406",7.855000019,6,1994
"tmean199407",11.90499973,7,1994
"tmean199408",10.78999996,8,1994
"tmean199409",3.835000277,9,1994
"tmean199410",-1.420000076,10,1994
"tmean199411",-9.934999466,11,1994
"tmean199412",-8.324999809,12,1994
"tmean199501",-10.02499962,1,1995
"tmean199502",-4.630000114,2,1995
"tmean199503",-9.239999771,3,1995
"tmean199504",-7.15500021,4,1995
"tmean199505",-4.150000095,5,1995
"tmean199506",3.089999914,6,1995
"tmean199507",9.305000305,7,1995
"tmean199508",9.510000229,8,1995
"tmean199509",5.965000153,9,1995
"tmean199510",1.75,10,1995
"tmean199511",0.065000057,11,1995
"tmean199512",-7.134999752,12,1995
"tmean199601",-7.224999905,1,1996
"tmean199602",-8.170000076,2,1996
"tmean199603",-7.59499979,3,1996
"tmean199604",-4.509999752,4,1996
"tmean199605",-0.999999881,5,1996
"tmean199606",6.889999867,6,1996
"tmean199607",11.42000008,7,1996
"tmean199608",10.24000073,8,1996
"tmean199609",4.050000191,9,1996
"tmean199610",-0.570000052,10,1996
"tmean199611",-3.994999886,11,1996
"tmean199612",-6.399999619,12,1996
"tmean199701",-8.86000061,1,1997
"tmean199702",-8.31000042,2,1997
"tmean199703",-4.559999943,3,1997
"tmean199704",-5.320000172,4,1997
"tmean199705",1.164999962,5,1997
"tmean199706",5.494999886,6,1997
"tmean199707",8.484999657,7,1997
"tmean199708",9.390000343,8,1997
"tmean199709",4.979999542,9,1997
"tmean199710",-0.565000057,10,1997
"tmean199711",-4.380000114,11,1997
"tmean199712",-8.789999962,12,1997
"tmean199801",-8.555000305,1,1998
"tmean199802",-11.88000011,2,1998
"tmean199803",-7.305000305,3,1998
"tmean199804",-8.979999542,4,1998
"tmean199805",-5.289999962,5,1998
"tmean199806",2.989999771,6,1998
"tmean199807",10.19000053,7,1998
"tmean199808",10.33500004,8,1998
"tmean199809",3.950000048,9,1998
"tmean199810",-1.779999971,10,1998
"tmean199811",-5.054999828,11,1998
"tmean199812",-7.130000114,12,1998
"tmean199901",-5.690000057,1,1999
"tmean199902",-9.56000042,2,1999
"tmean199903",-7.349999905,3,1999
"tmean199904",-8.039999962,4,1999
"tmean199905",-0.950000048,5,1999
"tmean199906",5.590000153,6,1999
"tmean199907",9.449999809,7,1999
"tmean199908",7.965000153,8,1999
"tmean199909",5.585000038,9,1999
"tmean199910",3.079999924,10,1999
"tmean199911",-1.38500011,11,1999
"tmean199912",-5.079999924,12,1999
"tmean200001",-7.829999924,1,2000
"tmean200002",-8.065000534,2,2000
"tmean200003",-6.825000286,3,2000
"tmean200004",-3.329999924,4,2000
"tmean200005",1.11500001,5,2000
"tmean200006",8.604999542,6,2000
"tmean200007",9.729999542,7,2000
"tmean200008",10.17000008,8,2000
"tmean200009",5.130000114,9,2000
"tmean200010",-1.195000053,10,2000
"tmean200011",-6.355000019,11,2000
"tmean200012",-3.559999943,12,2000
"tmean200101",-9.23500061,1,2001
"tmean200102",-10.79500008,2,2001
"tmean200103",-5.715000153,3,2001
"tmean200104",-6.474999905,4,2001
"tmean200105",3.289999962,5,2001
"tmean200106",8.354999542,6,2001
"tmean200107",9.315000534,7,2001
"tmean200108",11.22000027,8,2001
"tmean200109",6.480000019,9,2001
"tmean200110",3.064999819,10,2001
"tmean200111",-3.524999857,11,2001
"tmean200112",-9.085000038,12,2001
"tmean200201",-8.260000229,1,2002
"tmean200202",-5.769999981,2,2002
"tmean200203",-8.270000458,3,2002
"tmean200204",-3.410000086,4,2002
"tmean200205",-1.160000086,5,2002
"tmean200206",8.190000534,6,2002
"tmean200207",11.77499962,7,2002
"tmean200208",9.864999771,8,2002
"tmean200209",5.264999867,9,2002
"tmean200210",-0.410000086,10,2002
"tmean200211",-3.025000095,11,2002
"tmean200212",-9.594999313,12,2002
"tmean200301",-3.730000019,1,2003
"tmean200302",-8.295000076,2,2003
"tmean200303",-6.369999886,3,2003
"tmean200304",-7.68999958,4,2003
"tmean200305",-1.049999952,5,2003
"tmean200306",8.104999542,6,2003
"tmean200307",12.18000031,7,2003
"tmean200308",9.574999809,8,2003
"tmean200309",7.485000134,9,2003
"tmean200310",4.140000343,10,2003
"tmean200311",-6.715000153,11,2003
"tmean200312",-8.119999886,12,2003
"tmean200401",-8.154999733,1,2004
"tmean200402",-10.47999954,2,2004
"tmean200403",-2.664999962,3,2004
"tmean200404",-3.900000095,4,2004
"tmean200405",0.074999809,5,2004
"tmean200406",7.704999924,6,2004
"tmean200407",10.77999973,7,2004
"tmean200408",9.280000687,8,2004
"tmean200409",4.809999943,9,2004
"tmean200410",-1.424999952,10,2004
"tmean200411",-5.699999809,11,2004
"tmean200412",-6.31000042,12,2004
"tmean200501",-8.305000305,1,2005
"tmean200502",-7.90500021,2,2005
"tmean200503",-6.800000191,3,2005
"tmean200504",-6.445000172,4,2005
"tmean200505",-0.604999781,5,2005
"tmean200506",4.539999962,6,2005
"tmean200507",12.87999916,7,2005
"tmean200508",9.515000343,8,2005
"tmean200509",3.130000114,9,2005
"tmean200510",0.634999991,10,2005
"tmean200511",-1.684999943,11,2005
"tmean200512",-5.725000382,12,2005
"tmean200601",-9.104999542,1,2006
"tmean200602",-7.454999924,2,2006
"tmean200603",-12.39000034,3,2006
"tmean200604",-5.770000458,4,2006
"tmean200605",0.46999979,5,2006
"tmean200606",8.569999695,6,2006
"tmean200607",12.03499985,7,2006
"tmean200608",8.789999962,8,2006
"tmean200609",5.039999962,9,2006
"tmean200610",-0.690000057,10,2006
"tmean200611",-2.735000134,11,2006
"tmean200612",-6.389999867,12,2006
"tmean200701",-8.43999958,1,2007
"tmean200702",-7.119999886,2,2007
"tmean200703",-4.275000095,3,2007
"tmean200704",-3.779999733,4,2007
"tmean200705",0.955000043,5,2007
"tmean200706",7.329999924,6,2007
"tmean200707",12.36999989,7,2007
"tmean200708",10.65999985,8,2007
"tmean200709",4.114999771,9,2007
"tmean200710",-0.029999971,10,2007
"tmean200711",-1.200000048,11,2007
"tmean200712",-9.280000687,12,2007
"tmean200801",-9.925000191,1,2008
"tmean200802",-8.510000229,2,2008
"tmean200803",-6.909999847,3,2008
"tmean200804",-5.199999809,4,2008
"tmean200805",-1.25,5,2008
"tmean200806",7.675000191,6,2008
"tmean200807",11.82999992,7,2008
"tmean200808",11.59500027,8,2008
"tmean200809",6.380000114,9,2008
"tmean200810",0.524999857,10,2008
"tmean200811",-1.879999995,11,2008
"tmean200812",-7.340000153,12,2008
"tmean200901",-6.210000038,1,2009
"tmean200902",-9.109999657,2,2009
"tmean200903",-6.775000095,3,2009
"tmean200904",-5.559999943,4,2009
"tmean200905",2.634999991,5,2009
"tmean200906",4.380000114,6,2009
"tmean200907",11.81500053,7,2009
"tmean200908",9.329999924,8,2009
"tmean200909",7.484999657,9,2009
"tmean200910",-1.524999857,10,2009
"tmean200911",-1.995000124,11,2009
"tmean200912",-8.404999733,12,2009
"tmean201001",-7.474999905,1,2010
