,Precipitation,Source,Year
ppt2001bil1,581.7600098,4k PRISM White Mountain 3500m,2001
ppt2002bil1,321.3599854,4k PRISM White Mountain 3500m,2002
ppt2003bil1,369.4899902,4k PRISM White Mountain 3500m,2003
ppt2004bil1,497.9899902,4k PRISM White Mountain 3500m,2004
ppt2005bil1,659.1499634,4k PRISM White Mountain 3500m,2005
ppt2006bil1,563.210022,4k PRISM White Mountain 3500m,2006
ppt2007bil1,348.730011,4k PRISM White Mountain 3500m,2007
ppt2008bil1,435.0599976,4k PRISM White Mountain 3500m,2008
ppt2009bil1,432.9899902,4k PRISM White Mountain 3500m,2009
ppt2010bil1,705.789978,4k PRISM White Mountain 3500m,2010
ppt1962bil2,468.1610107,4k PRISM White Mountain 3800m,1962
ppt1963bil2,518.4979858,4k PRISM White Mountain 3800m,1963
ppt1964bil2,526.5310059,4k PRISM White Mountain 3800m,1964
ppt1965bil2,552.960022,4k PRISM White Mountain 3800m,1965
ppt1966bil2,371.2030029,4k PRISM White Mountain 3800m,1966
ppt1967bil2,779.6489868,4k PRISM White Mountain 3800m,1967
ppt1968bil2,300.0700073,4k PRISM White Mountain 3800m,1968
ppt1969bil2,617.8389893,4k PRISM White Mountain 3800m,1969
ppt1970bil2,327.1399841,4k PRISM White Mountain 3800m,1970
ppt1971bil2,646.1589966,4k PRISM White Mountain 3800m,1971
ppt1972bil2,368.7269898,4k PRISM White Mountain 3800m,1972
ppt1973bil2,527.9450073,4k PRISM White Mountain 3800m,1973
ppt1974bil2,385.9570007,4k PRISM White Mountain 3800m,1974
ppt1975bil2,307.0619812,4k PRISM White Mountain 3800m,1975
ppt1976bil2,312.6759949,4k PRISM White Mountain 3800m,1976
ppt1977bil2,544.0709839,4k PRISM White Mountain 3800m,1977
ppt1978bil2,686.0820313,4k PRISM White Mountain 3800m,1978
ppt1979bil2,449.8930054,4k PRISM White Mountain 3800m,1979
ppt1980bil2,580.8170166,4k PRISM White Mountain 3800m,1980
ppt1981bil2,549.5900269,4k PRISM White Mountain 3800m,1981
ppt1982bil2,1045.859985,4k PRISM White Mountain 3800m,1982
ppt1983bil2,876.0599976,4k PRISM White Mountain 3800m,1983
ppt1984bil2,569.2399902,4k PRISM White Mountain 3800m,1984
ppt1985bil2,454.0400085,4k PRISM White Mountain 3800m,1985
ppt1986bil2,642.710022,4k PRISM White Mountain 3800m,1986
ppt1987bil2,430.3099976,4k PRISM White Mountain 3800m,1987
ppt1988bil2,436.3099976,4k PRISM White Mountain 3800m,1988
ppt1989bil2,326.5,4k PRISM White Mountain 3800m,1989
ppt1990bil2,370.3200073,4k PRISM White Mountain 3800m,1990
ppt1991bil2,569.3900147,4k PRISM White Mountain 3800m,1991
ppt1992bil2,493.7399902,4k PRISM White Mountain 3800m,1992
ppt1993bil2,473,4k PRISM White Mountain 3800m,1993
ppt1994bil2,473.8300171,4k PRISM White Mountain 3800m,1994
ppt1995bil2,841.0899658,4k PRISM White Mountain 3800m,1995
ppt1996bil2,957.0999756,4k PRISM White Mountain 3800m,1996
ppt1997bil2,527.2299805,4k PRISM White Mountain 3800m,1997
ppt1998bil2,657.3500366,4k PRISM White Mountain 3800m,1998
ppt1999bil2,452.0400085,4k PRISM White Mountain 3800m,1999
ppt2000bil2,396.3800049,4k PRISM White Mountain 3800m,2000
ppt2001bil2,646.7399902,4k PRISM White Mountain 3800m,2001
ppt2002bil2,368.6400147,4k PRISM White Mountain 3800m,2002
ppt2003bil2,408.8300171,4k PRISM White Mountain 3800m,2003
ppt2004bil2,563.9299927,4k PRISM White Mountain 3800m,2004
ppt2005bil2,741.1699829,4k PRISM White Mountain 3800m,2005
ppt2006bil2,627.8200073,4k PRISM White Mountain 3800m,2006
ppt2007bil2,400.0899963,4k PRISM White Mountain 3800m,2007
ppt2008bil2,502.6700134,4k PRISM White Mountain 3800m,2008
ppt2009bil2,487.3800049,4k PRISM White Mountain 3800m,2009
ppt2010bil2,789.9699707,4k PRISM White Mountain 3800m,2010
