,Precipitation,Source,Year
usppt1896141,342.49,PRISM White Mountain 3200m,1896
usppt1897141,405.28,PRISM White Mountain 3200m,1897
usppt1898141,296.95,PRISM White Mountain 3200m,1898
usppt1899141,352.24,PRISM White Mountain 3200m,1899
usppt1900141,226.42,PRISM White Mountain 3200m,1900
usppt1901141,355.01,PRISM White Mountain 3200m,1901
usppt1902141,308.27,PRISM White Mountain 3200m,1902
usppt1903141,308.91,PRISM White Mountain 3200m,1903
usppt1904141,371.56,PRISM White Mountain 3200m,1904
usppt1905141,340.22,PRISM White Mountain 3200m,1905
usppt1906141,659.6,PRISM White Mountain 3200m,1906
usppt1907141,478.68,PRISM White Mountain 3200m,1907
usppt1908141,351.86,PRISM White Mountain 3200m,1908
usppt1909141,477.48,PRISM White Mountain 3200m,1909
usppt1910141,224.71,PRISM White Mountain 3200m,1910
usppt1911141,310.21,PRISM White Mountain 3200m,1911
usppt1912141,318.42,PRISM White Mountain 3200m,1912
usppt1913141,416.98,PRISM White Mountain 3200m,1913
usppt1914141,348.56,PRISM White Mountain 3200m,1914
usppt1915141,335.26,PRISM White Mountain 3200m,1915
usppt1916141,392.86,PRISM White Mountain 3200m,1916
usppt1917141,325.12,PRISM White Mountain 3200m,1917
usppt1918141,400.68,PRISM White Mountain 3200m,1918
usppt1919141,252.06,PRISM White Mountain 3200m,1919
usppt1920141,424.04,PRISM White Mountain 3200m,1920
usppt1921141,392.59,PRISM White Mountain 3200m,1921
usppt1922141,389.95,PRISM White Mountain 3200m,1922
usppt1923141,325.02,PRISM White Mountain 3200m,1923
usppt1924141,242.46,PRISM White Mountain 3200m,1924
usppt1925141,362.43,PRISM White Mountain 3200m,1925
usppt1926141,386.55,PRISM White Mountain 3200m,1926
usppt1927141,366.31,PRISM White Mountain 3200m,1927
usppt1928141,214.21,PRISM White Mountain 3200m,1928
usppt1929141,319.43,PRISM White Mountain 3200m,1929
usppt1930141,343.83,PRISM White Mountain 3200m,1930
usppt1931141,461.75,PRISM White Mountain 3200m,1931
usppt1932141,265.96,PRISM White Mountain 3200m,1932
usppt1933141,364.62,PRISM White Mountain 3200m,1933
usppt1934141,238.72,PRISM White Mountain 3200m,1934
usppt1935141,467.26,PRISM White Mountain 3200m,1935
usppt1936141,506.06,PRISM White Mountain 3200m,1936
usppt1937141,379.22,PRISM White Mountain 3200m,1937
